"","WH.CL.BO","WH.CL.YO","WH.CY.BU","WH.CY.YO","WH.SC.HE","WH.SC.SH","WH.SL.AN","WH.SL.BE","WH.SL.SH"
"Abortiporus",0,0,0,0,0,1,0,1,0
"Absidia",0,0,1,0,1,1,1,1,1
"Acarosporales_gen_Incertae_sedis",0,0,0,0,1,0,0,0,0
"Acaulospora",0,0,0,0,0,0,0,0,1
"Achroiostachys",0,0,0,0,0,0,0,1,1
"Acidomelania",0,0,0,0,1,0,0,1,0
"Acremonium",1,1,1,1,1,1,1,1,1
"Acrostalagmus",0,1,1,1,1,1,1,1,1
"Actinomucor",0,0,1,0,0,0,0,0,0
"Agaricomycotina_gen_Incertae_sedis",0,0,0,0,0,1,0,0,0
"Agaricostilbales_gen_Incertae_sedis",1,0,0,0,0,1,0,1,1
"Agaricus",1,0,1,1,1,1,0,1,0
"Agrocybe",0,0,0,0,0,0,1,0,0
"Akenomyces",0,0,1,1,0,0,1,0,0
"Alatospora",1,1,0,1,0,0,0,1,1
"Alnicola",0,1,0,0,0,0,0,0,0
"Alogomyces",0,0,0,0,0,0,0,1,0
"Alternaria",1,0,1,0,0,0,1,0,1
"Amaurodon",0,0,1,0,0,0,0,0,0
"Ambispora",0,0,0,0,1,0,1,1,0
"Amphinema",0,0,0,0,0,0,1,0,0
"Amphisphaeriales_gen_Incertae_sedis",0,0,0,0,0,1,0,0,0
"Amplistromataceae_gen_Incertae_sedis",0,0,0,0,0,0,0,1,1
"Amylocorticiellum",0,0,0,0,0,0,1,0,0
"Aphanoascus",0,0,0,0,0,1,1,0,0
"Aphelidiomycetes_gen_Incertae_sedis",1,1,0,1,0,1,0,0,0
"Aphelidiomycota_gen_Incertae_sedis",1,1,1,1,1,1,1,0,0
"Apiosordaria",0,0,1,0,1,1,0,0,0
"Apiospora",0,0,0,0,0,1,0,1,1
"Apiotrichum",1,1,1,1,1,1,1,1,1
"Apodus",1,1,1,1,1,1,1,1,1
"Arachnomyces",1,0,1,0,0,0,0,0,0
"Archaeorhizomyces",0,1,1,0,0,0,0,0,1
"Archaeospora",1,1,1,1,1,1,1,1,1
"Archaeosporaceae_gen_Incertae_sedis",1,0,0,0,0,0,0,0,1
"Armillaria",1,1,0,1,1,0,0,1,1
"Arthrobotrys",0,1,0,0,0,0,0,0,0
"Arthrographis",0,0,0,0,0,0,1,0,0
"Ascobolus",1,1,1,1,1,1,1,1,1
"Ascodesmidaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1
"Ascodesmis",0,1,0,0,1,0,0,0,1
"Ascospirella",1,0,0,1,1,0,0,1,0
"Aspergillus",1,1,1,1,1,1,1,1,1
"Asterostroma",0,0,0,0,0,0,0,0,1
"Atractiella",0,0,0,0,0,1,0,0,1
"Atractospora",1,1,1,1,1,0,1,1,1
"Atractosporales_gen_Incertae_sedis",1,1,1,1,1,0,1,0,0
"Auxarthron",0,1,0,0,0,0,0,0,0
"Babjevia",0,0,0,0,0,1,0,0,0
"Barnettozyma",1,0,0,0,0,0,0,0,0
"Basidiobolales_gen_Incertae_sedis",1,1,1,1,1,1,1,1,0
"Basidiobolomycota_gen_Incertae_sedis",1,0,1,1,1,0,1,1,1
"Basidiobolus",1,0,0,1,0,0,0,0,0
"Beauveria",1,1,1,1,1,1,1,0,1
"Berkeleyomyces",0,0,0,0,0,1,0,0,0
"Betamyces",1,1,1,0,0,1,1,0,0
"Biappendiculispora",0,0,0,0,0,0,0,0,1
"Bifiguratus",0,0,0,0,0,1,0,0,0
"Bionectriaceae_gen_Incertae_sedis",0,0,0,0,0,0,1,0,1
"Biscogniauxia",0,0,0,0,1,0,0,0,0
"Bisifusarium",1,0,1,0,1,0,1,0,1
"Blastocladiales_gen_Incertae_sedis",0,0,0,0,0,1,0,1,0
"Blastocladiomycota_gen_Incertae_sedis",1,1,0,1,0,1,1,1,1
"Blumeria",1,1,1,1,1,1,1,1,1
"Bolbitiaceae_gen_Incertae_sedis",1,0,0,0,0,1,0,0,1
"Botryotrichum",1,1,1,1,1,1,1,0,1
"Boubovia",0,1,1,0,0,1,0,0,0
"Boudiera",0,0,0,0,1,0,0,0,0
"Bovista",0,0,0,0,1,0,0,0,0
"Branch02_gen_Incertae_sedis",1,0,1,0,0,0,0,0,1
"Branch03_gen_Incertae_sedis",0,1,0,0,0,1,1,0,1
"Branch06_gen_Incertae_sedis",0,0,0,0,1,0,0,0,1
"Burgoa",1,0,0,0,0,0,0,1,0
"Byssoonygena",0,0,0,0,0,1,0,0,0
"Cadophora",1,1,1,1,1,1,1,1,1
"Calloria",0,0,1,0,0,0,0,0,0
"Calvatia",0,0,0,0,0,0,0,1,0
"Camposporium",0,0,0,0,0,0,0,0,1
"Camptobasidium",1,0,1,0,0,1,1,0,0
"Candida",1,1,1,1,1,1,1,1,1
"Capnodiales_gen_Incertae_sedis",0,0,1,0,1,0,1,1,1
"Castanedomyces",1,0,0,1,1,1,0,0,1
"Cephaliophora",1,1,0,1,1,1,1,0,1
"Ceratellopsis",0,0,0,0,0,0,0,1,0
"Ceratobasidiaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1
"Ceratobasidium",1,1,0,1,1,1,1,0,1
"Ceratocystis",0,0,0,0,1,0,0,0,0
"Ceratosphaeriaceae_gen_Incertae_sedis",0,0,0,0,1,0,0,0,0
"Cercophora",1,1,0,0,0,0,1,1,1
"Chaetocapnodium",0,0,0,0,0,1,0,1,0
"Chaetomiaceae_gen_Incertae_sedis",1,1,0,0,0,1,0,1,0
"Chaetomidium",0,0,0,0,1,0,0,0,0
"Chaetomium",0,1,1,0,1,1,1,1,1
"Chaetosphaeria",1,1,0,0,0,0,1,0,0
"Chaetothyriales_gen_Incertae_sedis",0,0,0,0,0,0,0,1,0
"Chalara",0,0,1,1,0,0,1,0,1
"Cheilymenia",1,1,1,1,0,1,1,1,1
"Cheiromyces",0,0,0,0,0,1,0,0,1
"Chlamydocillium",1,1,0,0,0,0,0,0,1
"Chloridium",0,0,0,0,0,0,0,1,0
"Chrysosporium",0,0,0,0,0,0,0,1,0
"Chrysozymaceae_gen_Incertae_sedis",1,1,0,1,0,0,0,0,0
"Chytridiomycota_gen_Incertae_sedis",0,0,0,1,1,0,0,0,0
"Cistella",1,0,0,1,0,1,1,1,1
"Cladobotryum",0,0,0,0,0,0,1,0,1
"Cladophialophora",0,0,0,0,1,0,1,0,1
"Cladorrhinum",1,1,1,1,1,0,1,1,1
"Cladosporium",1,1,1,1,1,1,1,1,1
"Claroideoglomus",1,0,0,0,0,0,0,0,0
"Classiculales_gen_Incertae_sedis",1,1,1,1,0,0,0,1,1
"Clathrosphaerina",0,0,1,0,0,0,0,0,0
"Clavaria",0,0,1,0,0,0,0,1,0
"Clavulinopsis",0,0,0,0,0,1,0,0,0
"Clitocybe",0,0,0,0,1,1,0,0,1
"Clitopilus",1,0,0,1,0,1,0,0,1
"Clonostachys",1,1,1,1,1,1,1,1,1
"Coemansia",0,0,0,0,1,1,1,1,0
"Coleophoma",0,0,0,0,0,1,0,1,1
"Collariella",0,0,0,0,0,1,0,0,1
"Collarina",1,1,1,1,1,1,1,1,1
"Coniochaeta",1,0,1,1,1,1,1,1,1
"Coniophora",0,0,0,0,0,0,1,0,0
"Conlarium",0,0,0,0,1,0,0,0,0
"Conocybe",0,1,1,1,1,1,1,0,1
"Contumyces",0,0,1,0,0,0,1,0,0
"Coprinellus",1,1,0,1,0,1,1,0,1
"Coprinopsis",1,1,1,1,0,1,1,1,1
"Coprinus",0,0,0,1,0,1,0,0,1
"Cordyceps",0,0,0,1,0,1,0,0,0
"Cornuvesica",0,0,0,0,0,1,0,0,0
"Coronophorales_gen_Incertae_sedis",0,0,0,0,1,0,0,0,0
"Cortinarius",0,0,0,0,1,1,1,0,0
"Cosmospora",0,0,0,1,0,0,0,0,0
"Crepidotus",0,0,0,0,1,0,0,0,1
"Crocicreas",1,1,1,0,1,0,1,0,0
"Cryptococcus",1,0,0,0,0,0,0,1,0
"Cryptosporiopsis",0,1,0,1,0,0,0,0,0
"Cryptostroma",0,1,0,0,0,1,0,0,0
"Cucurbitariaceae_gen_Incertae_sedis",0,0,0,0,1,1,0,0,0
"Cudoniella",0,0,0,0,1,0,0,0,0
"Cunninghamella",0,1,0,0,0,0,0,0,1
"Cunninghamellaceae_gen_Incertae_sedis",0,0,0,0,1,0,0,1,0
"Cyanoboletus",0,0,1,0,0,0,0,0,0
"Cyathicula",1,1,0,0,1,0,1,0,1
"Cylindrobasidium",0,0,0,0,0,0,0,0,1
"Cyphellophora",0,0,1,0,0,0,0,0,0
"Cystobasidiopsis",1,0,0,0,0,0,0,0,0
"Cystoderma",0,0,0,0,0,0,1,0,0
"Cystofilobasidium",1,1,1,0,1,1,1,0,1
"Dactylaria",1,0,0,0,0,1,0,1,1
"Dactylella",0,0,0,0,0,0,0,0,1
"Dactylonectria",1,1,1,1,1,1,1,1,1
"Darksidea",0,0,0,0,1,1,0,1,0
"Debaryomyces",0,0,0,0,1,1,1,0,1
"Dendrophoma",0,0,0,0,1,0,0,0,0
"Dendryphion",1,0,1,1,0,1,1,1,1
"Dermateaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1
"Diaporthe",0,0,1,0,0,0,1,1,0
"Dichotomopilus",1,0,0,0,1,0,0,1,1
"Dictyosporiaceae_gen_Incertae_sedis",1,0,0,0,0,1,0,0,0
"Dictyosporium",0,0,1,0,1,0,0,0,0
"Didymella",0,0,1,0,0,0,0,0,0
"Dinemasporium",0,0,0,0,1,0,0,0,0
"Dioszegia",0,0,0,0,0,0,1,0,0
"Dissophora",1,1,0,1,0,1,0,0,0
"Diversispora",1,0,1,0,1,0,1,0,1
"Dominikia",1,0,0,0,0,0,0,0,1
"Eleutherascus",0,0,1,0,0,0,0,0,0
"Emericellopsis",1,1,1,1,1,1,1,1,1
"Endogonales_gen_Incertae_sedis",0,0,0,0,0,0,0,1,0
"Endogonomycetes_gen_Incertae_sedis",1,1,0,1,1,1,0,0,0
"Endophoma",0,0,0,0,0,0,0,1,0
"Enterocarpus",1,1,1,1,1,1,1,0,1
"Entoloma",1,0,1,1,1,1,1,1,1
"Entomortierella",0,1,0,0,1,0,0,0,0
"Entorrhiza",0,0,1,0,0,0,0,0,0
"Eocronartium",1,1,1,1,1,1,1,1,1
"Equiseticola",1,1,1,1,1,1,1,1,1
"Erythrobasidiales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1
"Eucasphaeria",1,1,1,1,1,0,1,1,1
"Exophiala",1,1,1,1,1,1,1,1,1
"Extremopsis",1,1,1,1,1,1,1,1,0
"Fibulochlamys",0,1,0,1,0,1,0,0,0
"Filobasidiella",0,0,1,0,1,1,1,0,0
"Filobasidium",0,0,0,0,0,0,0,0,1
"Filosporella",1,0,0,0,0,0,0,0,0
"Flagellospora",0,0,0,0,0,0,0,0,1
"Flavocillium",0,0,0,0,1,0,0,0,0
"Fomitopsidaceae_gen_Incertae_sedis",0,0,0,0,0,1,0,1,0
"Fungi_gen_Incertae_sedis",1,1,1,1,1,1,1,1,1
"Funiliomyces",0,0,0,0,1,0,0,0,0
"Funneliformis",1,0,1,1,1,1,1,0,1
"Fusariella",1,0,0,0,0,0,0,0,0
"Fusarium",1,0,1,1,1,1,1,1,1
"Fusicolla",1,1,1,1,1,1,1,1,1
"Fusidium",0,1,1,0,1,1,1,1,1
"Gaeumannomyces",1,0,1,0,1,1,1,1,0
"Galerina",0,0,0,0,1,0,0,0,0
"Ganoderma",1,1,1,1,1,1,1,1,0
"Geastrum",0,0,0,0,1,0,0,0,0
"Geminibasidium",0,0,0,0,0,1,0,0,0
"Genolevuria",0,0,0,0,0,0,1,0,0
"Geomyces",0,0,1,0,1,1,0,0,0
"Geotrichum",1,0,1,1,0,0,0,0,1
"Glaciozyma",1,0,0,0,0,0,0,0,0
"Gliomastix",1,1,0,1,1,1,1,1,1
"Gloeotinia",0,0,0,0,0,1,0,0,0
"Goffeauzyma",1,0,0,1,0,0,1,0,0
"Gongronella",0,0,0,0,1,1,1,1,1
"Granulobasidium",0,0,0,0,0,0,1,0,0
"Gryganskiella",0,0,0,0,1,0,0,0,0
"GS04_gen_Incertae_sedis",0,1,0,0,1,1,0,0,0
"GS05_gen_Incertae_sedis",1,1,0,1,1,1,1,1,1
"GS06_gen_Incertae_sedis",1,0,1,0,1,0,1,0,0
"GS07_gen_Incertae_sedis",1,1,0,1,1,1,1,1,0
"GS08_gen_Incertae_sedis",1,1,1,1,1,1,1,1,1
"GS10_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1
"GS11_gen_Incertae_sedis",0,0,0,0,1,1,0,0,1
"GS16_gen_Incertae_sedis",1,1,0,1,1,1,1,1,1
"GS22_gen_Incertae_sedis",0,0,0,0,1,1,0,0,1
"GS36_gen_Incertae_sedis",0,0,0,0,1,0,0,0,0
"Gymnoascaceae_gen_Incertae_sedis",0,0,1,0,1,1,1,0,1
"Gymnopilus",1,0,1,1,1,1,1,0,0
"Gymnostellatospora",1,1,0,1,0,1,0,1,1
"Gyoerffyella",1,0,0,0,0,0,0,0,0
"Halokirschsteiniothelia",0,0,0,0,0,0,1,0,0
"Haptocillium",0,0,0,0,0,0,1,0,0
"Harzia",0,0,0,0,0,0,0,1,0
"Hebeloma",0,0,0,0,1,0,0,0,0
"Helgardiomyces",0,0,0,0,0,0,1,1,0
"Helotiales_gen_Incertae_sedis",0,0,0,0,0,0,1,0,0
"Herpotrichiellaceae_gen_Incertae_sedis",0,0,1,0,1,0,0,0,0
"Heterobasidion",0,0,0,0,0,0,1,0,0
"Heterocephalacria",1,0,0,0,0,0,0,0,0
"Hoehnelomycetaceae_gen_Incertae_sedis",1,1,1,1,0,1,1,1,1
"Hohenbuehelia",0,0,0,0,0,0,0,0,1
"Hormiactis",1,1,1,1,1,1,1,1,1
"Humicola",1,1,1,1,1,1,1,1,1
"Hyaloscyphaceae_gen_Incertae_sedis",1,1,1,1,1,1,1,1,1
"Hygrophoropsis",0,0,1,0,0,1,0,0,1
"Hymenochaetales_gen_Incertae_sedis",0,1,0,0,0,0,0,0,0
"Hymenoscyphus",1,0,0,1,1,0,0,0,0
"Hyphodontia",0,1,0,0,1,0,0,0,0
"Hypholoma",1,1,1,1,1,1,1,1,1
"Hypochnicium",0,0,0,0,0,0,1,0,0
"Hypoxylon",0,0,0,0,1,0,0,0,0
"Ijuhya",0,0,0,0,1,0,0,1,0
"Ilyonectria",1,1,1,1,1,1,1,1,1
"Irineochytrium",0,0,0,0,1,0,0,0,0
"Isthmolongispora",1,1,0,1,1,1,1,1,1
"Junewangiaceae_gen_Incertae_sedis",0,0,0,0,0,1,0,0,0
"Kazachstania",0,1,0,1,1,0,1,0,0
"Kernia",0,1,0,0,0,0,0,0,0
"Kickxellales_gen_Incertae_sedis",0,0,0,0,0,0,0,1,0
"Kickxellomycota_gen_Incertae_sedis",0,1,1,0,1,1,1,1,0
"Knufia",0,0,1,0,1,0,0,0,0
"Kondoa",1,0,0,0,0,1,0,0,0
"Kostermansinda",0,1,1,0,1,1,0,0,1
"Kuehneromyces",0,0,0,0,0,1,0,0,0
"Kurtzmanomyces",1,0,0,0,0,1,0,1,1
"Laboulbeniomycetes_gen_Incertae_sedis",1,1,0,1,1,1,1,1,1
"Laccaria",0,0,0,0,1,0,0,0,0
"Lachancea",0,0,0,0,0,0,0,0,1
"Lachnellula",1,0,1,0,0,0,1,0,0
"Lacrymaria",0,1,1,1,1,1,0,0,0
"Lasiobolidium",0,0,1,0,0,0,1,0,0
